surveyId,hitId,AssignmentId,workerId,CountryCriteria,age,gender,education,occupation,Hispanic,race,Political,zipcode,duration,feelAboutAd,rating,image,zip,City,State Code,city_state,density,State,Region,Division,page_type,relevant
50,3YCT0L9OMNMJD53CQ6GIDKHPI79SNP,3TGOYF991ZZEASDJ2ES5V0MWH5XUU7,A1755V6LGU4WFX,Yes,31,Female,bachelors,employed_biz,No,asian,lean-democrat,10301,364,1,2,Alternet Page - Wallet.png,10301,Staten Island,NY,"Staten Island, NY",10852,New York,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
65,33BFF6QPI2O5GIRBSS641VM4J3H3W2,384PI804XUEIFT9ZF2JLRSG1GJNS01,A175RKEJGJU5K7,Yes,23,Female,some_college,student,No,white,democrat,07747,63,3,4,Alternet Page - Fasion.png,07747,Matawan,NJ,"Matawan, NJ",2446,New Jersey,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
76,3I7SHAD35N9RCPYKQ2375EWTQ3PM7Z,3MB8LZR5BH6XO6LDZMW2YQHF2OUKLW,A17FDM5CXENC1O,Yes,29,Male,associates,employed_other,No,white,independent,60115,281,2,2,Alternet Page - Fasion.png,60115,Dekalb,IL,"Dekalb, IL",573,Illinois,Midwest,East North Central,Political - Liberal,Non-Relevant
89,3M7OI89LVZ1VZ38OU341W4RL1E1C68,30LB5CDZNENFG5VDAUDTNLD43ZWZ0O,A17OEHOV2NNSOH,Yes,56,Female,highschool,unemployed,No,african-american,other-party,77028,136,3,4,Alternet Page - Wallet.png,77028,Houston,TX,"Houston, TX",1833,Texas,South,West South Central,Political - Liberal,Non-Relevant
42,3K3G488TR3L3A0ITU2VRO3229YOQ58,3YWRV122CUCGCV66ZBR0Z847KEBU8X,A17Y8Z3QQIF9J4,Yes,61,Female,associates,unemployed,No,white,democrat,37312,1570,4,2,Alternet Page - bp.png,37312,Cleveland,TN,"Cleveland, TN",518,Tennessee,South,East South Central,Political - Liberal,Non-Relevant
61,3PGQRAZX03XDP47QX8PTU0FWMRFYSN,3ZGVPD4G6VUGWES48W137WF909FZTK,A182N7RLXGSCZG,Yes,33,Male,bachelors,employed_stem,No,asian,democrat,11373,116,4,1,Alternet Page - Adidas.png,11373,Elmhurst,NY,"Elmhurst, NY",66007,New York,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
33,3D3B8GE89341BBJQXFTJ0EHUQYLP97,3CFJTT4SXV373Q6NVPAG25K1FZ7I7F,A18E8Y0XOXV24T,Yes,32,Female,associates,employed_other,No,african-american,unsure,75052,304,2,1,Alternet Page - bp.png,75052,Grand Prairie,TX,"Grand Prairie, TX",3402,Texas,South,West South Central,Political - Liberal,Non-Relevant
30,39WICJI5AU59ADWG3FQB0ZGM05IZ3L,3KWTYT0872GU6N0ASZSWW1YX5X65L1,A18WFPSLFV4FKY,Yes,26,Male,bachelors,employed_stem,Yes,white,democrat,92105,3713,4,4,Alternet Page - Wallet.png,92105,San Diego,CA,"San Diego, CA",12534,California,West,Pacific,Political - Liberal,Non-Relevant
48,3EAWOID6MUAWK1S9JVJPDV5J9ISV0M,3S06PH7KSTHCKTBZEVSWAYDBK851D5,A19AGK07RP4KT4,Yes,35,Male,some_college,unemployed,No,other,republican,76550,324,3,2,Alternet Page - Wallet.png,76550,Lampasas,TX,"Lampasas, TX",22,Texas,South,West South Central,Political - Liberal,Non-Relevant
68,3TZDZ3Y0JTJYUJ0OCDITZIZWNII19I,30BXRYBRP6AMXAW4XF07U9I38EGHW4,A19DFNNYQPC35N,Yes,26,Female,highschool,unemployed,No,white,democrat,55069,405,1,1,Alternet Page - Wallet.png,55069,Rush City,MN,"Rush City, MN",75,Minnesota,Midwest,West North Central,Political - Liberal,Non-Relevant
38,3AC6MFV69LVO4L3FI0FD4THWJA0HZA,33FBRBDW6QCKQ1P6DK6052I1DETC8U,A19DYGQUQX6FWQ,Yes,32,Male,grad,employed_other,No,asian,republican,62500,2115,5,5,Alternet Page - Adidas.png,NA,NA,NA,NA,NA,NA,NA,NA,Political - Liberal,Non-Relevant
60,3H5TOKO3DAWS4ZV91OYJD6FX91K64P,3OWEPKL08BPZHRHES5N87DGI1ZG7N1,A19FK7GYFAQ7G9,Yes,52,Female,some_college,employed_other,No,white,democrat,64055,333,3,2,Alternet Page - Wallet.png,64055,Independence,MO,"Independence, MO",2768,Missouri,Midwest,West North Central,Political - Liberal,Non-Relevant
69,3HXK2V1N4LSKYE5S9NOHWIVOJ1RG25,36V4Q8R5ZMD35R1TC3HEUP8D1Z5MQL,A19GKAE000PR90,Yes,23,Male,highschool,employed_other,No,white,independent,36301,344,2,1,Alternet Page - Fasion.png,36301,Dothan,AL,"Dothan, AL",401,Alabama,South,East South Central,Political - Liberal,Non-Relevant
51,3I01FDIL6NLHMUV17XN9QXSR6992DF,3A1COHJ8NL8B790MZCK1GTFHQ63H8D,A19H91HUNQNR54,Yes,34,Male,bachelors,employed_biz,No,white,lean-democrat,75040,196,1,1,Alternet Page - Fasion.png,75040,Garland,TX,"Garland, TX",3795,Texas,South,West South Central,Political - Liberal,Non-Relevant
72,3RDTX9JRTZEC55FQ1TZ20SQ9Q4I79L,33C7UALJVNB03YF8XNHGO6ZA9IZ81Z,A19HZSTGHKG7CI,Yes,24,Male,bachelors,student,Yes,hawaiian,lean-democrat,78705,100,3,4,Alternet Page - bp.png,78705,Austin,TX,"Austin, TX",14272,Texas,South,West South Central,Political - Liberal,Non-Relevant
83,3M93N4X8HL0NUFCRB8OQKD089N7JSF,3FFJ6VRIL31TLF63AQP7NQAE7MN0IL,A19JXVLX01XKE6,Yes,21,Male,highschool,decline,No,african-american,democrat,32306,463,1,1,Alternet Page - Wallet.png,32306,Tallahassee,FL,NA,NA,Florida,South,South Atlantic,Political - Liberal,Non-Relevant
75,3UOMW19E6EJZGZ8APKUW4YDL5JQC5S,3OJSZ2ATDU9VR2B8O5RMDWGWAEP75K,A19ZA4GG7S0BKI,Yes,32,Male,bachelors,employed_other,Yes,white,republican,76028,195,5,4,Alternet Page - bp.png,76028,Burleson,TX,"Burleson, TX",774,Texas,South,West South Central,Political - Liberal,Non-Relevant
57,3E9VAUV7BXR9P8LWG83290LQ0L9AY4,3Z4XG4ZF4A48TZ014G2NJF3BEWYX8Y,A1A1SQ8ZU2MUEK,Yes,31,Male,some_college,employed_other,No,white,democrat,46342,153,2,1,Alternet Page - Wallet.png,46342,Hobart,IN,"Hobart, IN",887,Indiana,Midwest,East North Central,Political - Liberal,Non-Relevant
78,3YD0MU1NC3EQAOPVTZD2WN1TWM07A0,3QEMNNSB2ZCQVFQ13B95B84ONVCD7N,A1A6CKKP07QJJL,Yes,38,Female,associates,employed_biz,No,white,independent,29483,416,4,1,Alternet Page - Fasion.png,29483,Summerville,SC,"Summerville, SC",493,South Carolina,South,South Atlantic,Political - Liberal,Non-Relevant
30,39WICJI5AU59ADWG3FQB0ZGM05IZ3L,31T4R4OBOUTGQNKN3FEUR2M62UNC77,A1AJUHVUBA8BY0,Yes,65,Male,associates,decline,No,white,lean-democrat,48858,432,3,1,Alternet Page - Wallet.png,48858,Mount Pleasant,MI,"Mount Pleasant, MI",289,Michigan,Midwest,East North Central,Political - Liberal,Non-Relevant
53,39KMGHJ4R0NGR0RTGYV0S2FTFMG000,3M0BCWMB8X9C6XTIXNQB8YF5D01BW6,A1ANSFI5L7SUUH,Yes,29,Female,some_college,employed_stem,Yes,white,independent,33170,197,3,3,Alternet Page - Fasion.png,33170,Miami,FL,"Miami, FL",930,Florida,South,South Atlantic,Political - Liberal,Non-Relevant
38,3AC6MFV69LVO4L3FI0FD4THWJA0HZA,3JMSRU9HQK7XYB5XH4N5N42C9OAEVX,A1AWR7C38PW42P,Yes,24,Male,bachelors,employed_stem,Yes,asian,republican,73301,1369,4,2,Alternet Page - Adidas.png,73301,Austin,TX,NA,NA,Texas,South,West South Central,Political - Liberal,Non-Relevant
65,33BFF6QPI2O5GIRBSS641VM4J3H3W2,37W3JXSD68L8J5MT7F4VG9D6YA7WYW,A1B2KWQ8W1W7RU,Yes,25,Male,some_college,employed_other,No,african-american,independent,13224,230,3,1,Alternet Page - Fasion.png,13224,Syracuse,NY,"Syracuse, NY",2984,New York,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
32,391JB9X4ZZLF74549WSG9J1FWNMKM0,3MHW492WW2QVAZXAY2BO0C7LIQYMVR,A1B3XMTSAYWBT6,Yes,35,Male,grad,employed_biz,Yes,white,democrat,70010,1902,5,4,Alternet Page - Wallet.png,70010,Metairie,LA,NA,NA,Louisiana,South,West South Central,Political - Liberal,Non-Relevant
75,3UOMW19E6EJZGZ8APKUW4YDL5JQC5S,3YDGXNSEO17HVXCRK50IM46DL1T48Q,A1B58LQOBZ3ZCB,Yes,34,Male,bachelors,employed_stem,No,white,independent,32503,416,1,2,Alternet Page - bp.png,32503,Pensacola,FL,"Pensacola, FL",2602,Florida,South,South Atlantic,Political - Liberal,Non-Relevant
47,3MJ9GGZYO4JJONSPNNW70WKLL6CA2L,3COPXFW7XDPNFR0BREP9F7QZ7X7PK9,A1BB6H5STZAMMO,Yes,52,Male,bachelors,employed_biz,Yes,white,democrat,48348,374,2,4,Alternet Page - Fasion.png,48348,Clarkston,MI,"Clarkston, MI",706,Michigan,Midwest,East North Central,Political - Liberal,Non-Relevant
54,33IXYHIZB6VME0913SYTWFAC6LA2E8,3KMS4QQVK43BOEBHDBT43DCV5RUKFB,A1C4BRJNLJJ70H,Yes,35,Male,bachelors,unemployed,No,white,democrat,50401,286,1,1,Alternet Page - Adidas.png,50401,Mason City,IA,"Mason City, IA",200,Iowa,Midwest,West North Central,Political - Liberal,Non-Relevant
27,3RWB1RTQDK01X60GSNN50IMJ6S3P8I,340UGXU9D0EEN72J742ARMOFVC0UVQ,A1C5TWMUMBW0RX,Yes,26,Female,associates,student,No,white,lean-democrat,43920,152,2,4,Alternet Page - Adidas.png,43920,East Liverpool,OH,"East Liverpool, OH",522,Ohio,Midwest,East North Central,Political - Liberal,Non-Relevant
44,3TFJJUELSI27H2PN71SY6RA9L9X2CF,3Z7VU45IP0UFNUGV6DHT1QWE8QF1Z4,A1C8FN01981A69,Yes,38,Male,grad,employed_other,No,white,lean-democrat,65806,180,2,2,Alternet Page - Fasion.png,65806,Springfield,MO,"Springfield, MO",5106,Missouri,Midwest,West North Central,Political - Liberal,Non-Relevant
54,33IXYHIZB6VME0913SYTWFAC6LA2E8,3U84XHCDIEQWFTDETV0VZO3HKAOZ4E,A1C9ZHH1PV21PG,Yes,25,Female,some_college,student,Yes,white,democrat,59801,752,4,4,Alternet Page - Adidas.png,59801,Missoula,MT,"Missoula, MT",4548,Montana,West,Mountain,Political - Liberal,Non-Relevant
83,3M93N4X8HL0NUFCRB8OQKD089N7JSF,3OJSZ2ATDU9VR2B8O5RMDWGWAEZ57S,A1CA8B867KYEU2,Yes,38,Female,some_college,employed_other,Yes,other,democrat,91364,693,4,1,Alternet Page - Wallet.png,91364,Woodland Hills,CA,"Woodland Hills, CA",3405,California,West,Pacific,Political - Liberal,Non-Relevant
65,33BFF6QPI2O5GIRBSS641VM4J3H3W2,3RANCT1ZVHUZET4D2NBAQAU8SK4BUL,A1CQVBFOQXQFBV,Yes,38,Female,grad,student,No,white,lean-democrat,29036,265,4,3,Alternet Page - Fasion.png,29036,Chapin,SC,"Chapin, SC",354,South Carolina,South,South Atlantic,Political - Liberal,Non-Relevant
83,3M93N4X8HL0NUFCRB8OQKD089N7JSF,34T446B1C2R28CK3IGTLCNCJUGY0CC,A1D48NEMX364ME,Yes,67,Female,grad,unemployed,No,white,democrat,76936,306,2,2,Alternet Page - Wallet.png,76936,Eldorado,TX,"Eldorado, TX",3,Texas,South,West South Central,Political - Liberal,Non-Relevant
31,3PZDSVZ3J6U0BK1105K0FH1J4R6N4D,378XPAWRUEQPMS4L2SM0CWMRG7DIA6,A1DCKRRPA4AWVD,Yes,56,Female,bachelors,employed_stem,No,white,lean-democrat,19104,311,1,1,Alternet Page - Fasion.png,19104,Philadelphia,PA,"Philadelphia, PA",17232,Pennsylvania,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
57,3E9VAUV7BXR9P8LWG83290LQ0L9AY4,3C44YUNSI32F1LU1ZX3MBUV9NOKPD6,A1DT035EA3WOLG,Yes,39,Male,bachelors,employed_other,No,asian,unsure,30044,445,3,2,Alternet Page - Wallet.png,30044,Lawrenceville,GA,"Lawrenceville, GA",3255,Georgia,South,South Atlantic,Political - Liberal,Non-Relevant
89,3M7OI89LVZ1VZ38OU341W4RL1E1C68,3LWJHTCVCEZXZH9CQGD1ZZO44XMFQY,A1EXCCON1YAIGH,Yes,25,Female,bachelors,employed_biz,No,white,unsure,08075,148,1,1,Alternet Page - Wallet.png,08075,Riverside,NJ,"Riverside, NJ",2918,New Jersey,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
52,3DWGDA5POGHWRQDRFENPR0OTEAYV1P,33F859I568QU97YT2O4B7V5IYCOBH6,A1EYO4BWGW0MZ9,Yes,22,Female,bachelors,unemployed,No,white,democrat,11557,137,1,1,Alternet Page - bp.png,11557,Hewlett,NY,"Hewlett, NY",3870,New York,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
35,3J6BHNX0UA5LPMQ4LX7GMYQF1DWKN0,3A1COHJ8NL8B790MZCK1GTFHQ6YH88,A1FL53VTH8JPSS,Yes,33,Male,bachelors,employed_biz,Yes,native,democrat,01200,1135,4,2,Alternet Page - Adidas.png,NA,NA,NA,NA,NA,NA,NA,NA,Political - Liberal,Non-Relevant
56,3PKVGQTFIIX1OP7DIJPO4QA00PWYRZ,3HOSI13XH116CORBUOCRB0EK95IDDH,A1FQT7UXV7NA1W,Yes,25,Male,bachelors,employed_biz,No,african-american,independent,10013,498,3,3,Alternet Page - Fasion.png,10013,New York,NY,"New York, NY",50154,New York,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
55,386659BNTMUGYPCBCHZ067Y3KEM013,3YMU66OBIPLQ0O64IAWP86WFEPSHG5,A1FTIGX35ZK6PD,Yes,33,Male,bachelors,employed_biz,No,white,independent,60606,74,3,3,Alternet Page - bp.png,60606,Chicago,IL,"Chicago, IL",9034,Illinois,Midwest,East North Central,Political - Liberal,Non-Relevant
36,3YOAVL4CA1UUS9FK3TVUA48SE5EZ46,3N2BF7Y2VS7QSY2QTDUKLBGCABNHMW,A1G85JMLZY7B28,Yes,26,Male,bachelors,employed_biz,Yes,white,democrat,19206,4150,4,4,Alternet Page - Fasion.png,NA,NA,NA,NA,NA,NA,NA,NA,Political - Liberal,Non-Relevant
50,3YCT0L9OMNMJD53CQ6GIDKHPI79SNP,3GLB5JMZFZ89O812WEDZHLHHMXNGDJ,A1GJ4AW8SPF1HT,Yes,23,Male,highschool,employed_biz,No,white,democrat,78242,1955,1,1,Alternet Page - Wallet.png,78242,San Antonio,TX,"San Antonio, TX",4019,Texas,South,West South Central,Political - Liberal,Non-Relevant
77,3RWO3EJELIMJM6GVT2EQL8ZBSM0P11,37QW5D2ZRIZ0XIE2A6W0K7MJZIM8ST,A1GWYEIX5S6JU4,Yes,46,Female,associates,decline,No,white,lean-republican,39837,249,3,4,Alternet Page - bp.png,39837,Colquitt,GA,"Colquitt, GA",22,Georgia,South,South Atlantic,Political - Liberal,Non-Relevant
55,386659BNTMUGYPCBCHZ067Y3KEM013,31HQ4X3T3UNVCPYL4V54PC8PJHJLSO,A1HNB2243A2PQH,Yes,38,Female,bachelors,employed_biz,No,asian,lean-democrat,02116,133,5,3,Alternet Page - bp.png,02116,Boston,MA,"Boston, MA",32724,Massachusetts,Northeast,New England,Political - Liberal,Non-Relevant
69,3HXK2V1N4LSKYE5S9NOHWIVOJ1RG25,3S06PH7KSTHCKTBZEVSWAYDBK9LD1Z,A1HNR6OIRFCEHS,Yes,32,Male,bachelors,employed_other,No,white,independent,97035,464,3,1,Alternet Page - Fasion.png,97035,Lake Oswego,OR,"Lake Oswego, OR",3964,Oregon,West,Pacific,Political - Liberal,Non-Relevant
87,3VEI3XUCZSA7FBFCRWT5RZHOWKURPZ,3KYQYYSHYXKXGLI0KXQ7MUQJDK9ODB,A1I0DV4B4MFQCL,Yes,31,Male,bachelors,employed_other,Yes,white,democrat,79930,197,1,1,Alternet Page - bp.png,79930,El Paso,TX,"El Paso, TX",2590,Texas,South,West South Central,Political - Liberal,Non-Relevant
37,3K3IX1W4S74FGUTVPL7JW9SEWG3PAM,3E7TUJ2EGEZU9YEUI87PP4VUIKND9K,A1I3QYJJU5ACFR,Yes,34,Male,bachelors,employed_biz,No,asian,republican,96825,96,3,1,Alternet Page - Fasion.png,96825,Honolulu,HI,"Honolulu, HI",2699,Hawaii,West,Pacific,Political - Liberal,Non-Relevant
27,3RWB1RTQDK01X60GSNN50IMJ6S3P8I,3ZAZR5XV03VZAXQTMA6DIMF5CN0CZZ,A1I96W45KL8N7L,Yes,38,Male,associates,employed_other,No,asian,independent,11364,72,3,3,Alternet Page - Adidas.png,11364,Oakland Gardens,NY,"Oakland Gardens, NY",14013,New York,Northeast,Middle Atlantic,Political - Liberal,Non-Relevant
26,3P7QK0GJ3UYKPV0XZFC6HPBUURIZ2A,3WOKGM4L73T3H1H68L2C7N60JU9O0P,A1IIXEXSGF1VJN,Yes,23,Female,some_college,employed_other,Yes,native,lean-republican,25897,1595,5,5,Alternet Page - bp.png,NA,NA,NA,NA,NA,NA,NA,NA,Political - Liberal,Non-Relevant
